Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Series A - Glycos Biotechnologies,https://www.crunchbase.com/funding_round/glycos-biotechnologies-series-a--50a382ae,Glycos Biotechnologies,https://www.crunchbase.com/organization/glycos-biotechnologies,Series A,"$675,296","Sep 29, 2009",Early Stage Venture,,Yes,1,1
Venture Round - Socialtext,https://www.crunchbase.com/funding_round/socialtext-series-unknown--3e5bffa2,Socialtext,https://www.crunchbase.com/organization/socialtext,Venture - Series Unknown,"$1,700,000","Sep 28, 2009",,,Yes,1,1
Series A - ViVu,https://www.crunchbase.com/funding_round/vivu-series-a--1438628a,ViVu,https://www.crunchbase.com/organization/vivu,Series A,"$3,000,000","Sep 21, 2009",Early Stage Venture,,Yes,4,2
Series A - Qingdao Crystech Coating,https://www.crunchbase.com/funding_round/qingdao-crystech-coating-technology-series-a--b551c04e,Qingdao Crystech Coating,https://www.crunchbase.com/organization/qingdao-crystech-coating-technology,Series A,"$8,100,000","Sep 9, 2009",Early Stage Venture,,Yes,1,
Venture Round - Mahindra REVA,https://www.crunchbase.com/funding_round/mahindrareva-series-unknown--4d672036,Mahindra REVA,https://www.crunchbase.com/organization/mahindrareva,Venture - Series Unknown,"$1,000,000","Sep 1, 2009",,,Yes,1,
Series C - Mtime,https://www.crunchbase.com/funding_round/mtime-series-c--98f0d4e3,Mtime,https://www.crunchbase.com/organization/mtime,Series C,,"Sep 1, 2009",Late Stage Venture,,Yes,1,
Venture Round - MyShape,https://www.crunchbase.com/funding_round/myshape-series-unknown--4de6613e,MyShape,https://www.crunchbase.com/organization/myshape,Venture - Series Unknown,"$10,500,000","Aug 31, 2009",,,Yes,1,1
Seed Round - isocket,https://www.crunchbase.com/funding_round/isocket-seed--9d84cd67,isocket,https://www.crunchbase.com/organization/isocket,Seed,"$2,104,119","Aug 27, 2009",Seed,,Yes,14,5
Venture Round - Shanghai SynaCast Media,https://www.crunchbase.com/funding_round/synacast-series-unknown--4424e1f5,Shanghai SynaCast Media,https://www.crunchbase.com/organization/synacast,Venture - Series Unknown,"$11,717,309","Aug 26, 2009",,,Yes,1,
Series A - Fotomoto,https://www.crunchbase.com/funding_round/fotomoto-series-a--9e0c7391,Fotomoto,https://www.crunchbase.com/organization/fotomoto,Series A,"$322,922","Aug 19, 2009",Early Stage Venture,,Yes,4,2
Venture Round - Reenergy Electric,https://www.crunchbase.com/funding_round/reenergy-electric-series-unknown--cb790a75,Reenergy Electric,https://www.crunchbase.com/organization/reenergy-electric,Venture - Series Unknown,"$8,800,000","Aug 18, 2009",,,Yes,1,
