Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Number of Investors,Number of Partner Investors
Grant - Starfire Systems,https://www.crunchbase.com/funding_round/starfire-systems-grant--de282790,Starfire Systems,https://www.crunchbase.com/organization/starfire-systems,Grant,"$42,533","Apr 6, 2004",,,No,1,
Grant - Navigant Consulting,https://www.crunchbase.com/funding_round/navigant-consulting-grant--b072fe4a,Navigant Consulting,https://www.crunchbase.com/organization/navigant-consulting,Grant,"$595,101","Apr 1, 2004",,,No,1,
Grant - Scarano Boat Building Inc.,https://www.crunchbase.com/funding_round/scarano-boat-building-inc-grant--8cf2d2b3,Scarano Boat Building Inc.,https://www.crunchbase.com/organization/scarano-boat-building-inc,Grant,"$30,000","Mar 31, 2004",,,No,1,
Grant - GSM Vehicles,https://www.crunchbase.com/funding_round/gsm-vehicles-inc-grant--843972a6,GSM Vehicles,https://www.crunchbase.com/organization/gsm-vehicles-inc,Grant,"$38,746","Mar 31, 2004",,,No,1,
Grant - Pall,https://www.crunchbase.com/funding_round/pall-grant--0a9fba7c,Pall,https://www.crunchbase.com/organization/pall,Grant,"$106,100","Mar 30, 2004",,,No,1,
Grant - Gas Technology Institute,https://www.crunchbase.com/funding_round/gas-technology-institute-grant--c1fb4564,Gas Technology Institute,https://www.crunchbase.com/organization/gas-technology-institute,Grant,"$18,492","Mar 29, 2004",,,No,1,
Grant - Manufactured Housing Research Alliance,https://www.crunchbase.com/funding_round/manufactured-housing-research-alliance-grant--7f31d6eb,Manufactured Housing Research Alliance,https://www.crunchbase.com/organization/manufactured-housing-research-alliance,Grant,"$167,365","Mar 25, 2004",,,No,1,
Grant - TerraSolar USA,https://www.crunchbase.com/funding_round/terrasolar-usa-inc-grant--57a0de5a,TerraSolar USA,https://www.crunchbase.com/organization/terrasolar-usa-inc,Grant,"$38,433","Mar 11, 2004",,,No,1,
Grant - National Photovoltaic Construction,https://www.crunchbase.com/funding_round/national-photovoltaic-construction-grant--72427fe5,National Photovoltaic Construction,https://www.crunchbase.com/organization/national-photovoltaic-construction,Grant,"$32,680","Mar 4, 2004",,,No,1,
Grant - Antares Group ,https://www.crunchbase.com/funding_round/antares-group-inc-grant--06866d30,Antares Group ,https://www.crunchbase.com/organization/antares-group-inc,Grant,"$516,101","Mar 2, 2004",,,No,1,
Grant - Jannanco ,https://www.crunchbase.com/funding_round/jannanco-llc-grant--6c52d28c,Jannanco ,https://www.crunchbase.com/organization/jannanco-llc,Grant,"$97,558","Feb 27, 2004",,,No,1,
Grant - Clickable Oil.Com,https://www.crunchbase.com/funding_round/clickable-oil-com-inc-grant--feb6fef6,Clickable Oil.Com,https://www.crunchbase.com/organization/clickable-oil-com-inc,Grant,"$83,548","Feb 26, 2004",,,No,1,
Grant - Thermorise,https://www.crunchbase.com/funding_round/thermorise-grant--ceaea74f,Thermorise,https://www.crunchbase.com/organization/thermorise,Grant,"$288,998","Feb 18, 2004",,,No,1,
Grant - Fulton Companies,https://www.crunchbase.com/funding_round/fulton-companies-grant--087aab9e,Fulton Companies,https://www.crunchbase.com/organization/fulton-companies,Grant,"$179,822","Feb 18, 2004",,,No,1,
Grant - Atlantis Energy Systems,https://www.crunchbase.com/funding_round/atlantis-energy-systems-grant--f3a18d1a,Atlantis Energy Systems,https://www.crunchbase.com/organization/atlantis-energy-systems,Grant,"$40,000","Feb 9, 2004",,,No,1,
Grant - Canrom Photovoltaics,https://www.crunchbase.com/funding_round/canrom-photovoltaics-grant--d1eb4ead,Canrom Photovoltaics,https://www.crunchbase.com/organization/canrom-photovoltaics,Grant,"$40,000","Feb 5, 2004",,,No,1,
Grant - Prime Energy Solutions Inc.,https://www.crunchbase.com/funding_round/prime-energy-solutions-inc-grant--6f3d8cbb,Prime Energy Solutions Inc.,https://www.crunchbase.com/organization/prime-energy-solutions-inc,Grant,"$22,213","Feb 4, 2004",,,No,1,
Grant - Verizon Communications,https://www.crunchbase.com/funding_round/verizon-grant--7005e335,Verizon Communications,https://www.crunchbase.com/organization/verizon,Grant,"$170,366","Jan 20, 2004",,,No,1,
Grant - National Fuel Gas Dist. ,https://www.crunchbase.com/funding_round/national-fuel-gas-dist-corp-grant--7e612e69,National Fuel Gas Dist. ,https://www.crunchbase.com/organization/national-fuel-gas-dist-corp,Grant,"$107,130","Jan 20, 2004",,,No,1,
Grant - Nupix,https://www.crunchbase.com/funding_round/nupix-grant--7a1ce5b5,Nupix,https://www.crunchbase.com/organization/nupix,Grant,"$199,209","Dec 31, 2003",,,No,1,
Grant - Plug Power,https://www.crunchbase.com/funding_round/plug-power-grant--a1ef7e9a,Plug Power,https://www.crunchbase.com/organization/plug-power,Grant,"$221,897","Dec 19, 2003",,,No,1,
